X,Y,OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
-118.224250321,33.897504487,11,9154011,Compton Station,https://www.metro.net/riding/paid_parking/blue-line/,80111,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.897504487,-118.224250321,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90220,Compton Station - LACMTA
-118.237609831,33.9281551770001,12,9154012,Willowbrook - Rosa Parks Station - Metro Blue Line,https://www.metro.net/riding/paid_parking/blue-line/,80112,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9281551770001,-118.237609831,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90059,Willowbrook - Rosa Parks Station - Metro Blue Line - LACMTA
-118.24316,33.94222,13,9154013,103rd Street / Watts Towers Station,https://www.metro.net/riding/paid_parking/blue-line/,80113,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9422200000001,-118.24316,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90002,103rd Street / Watts Towers Station - LACMTA
-118.243205295,33.959654093,14,9154014,Firestone Station,https://www.metro.net/riding/paid_parking/blue-line/,80114,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.959654093,-118.243205295,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90002,Firestone Station - LACMTA
-118.24327,33.97374,15,9154015,Florence Station,https://www.metro.net/riding/paid_parking/blue-line/,80115,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9737400000001,-118.24327,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90001,Florence Station - LACMTA
-118.243399297,33.988802515,16,9154016,Slauson Station,https://www.metro.net/riding/paid_parking/blue-line/,80116,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.988802515,-118.243399297,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,FLORENCE-GRAHAM,CA,90001,Slauson Station - LACMTA
-118.2433,34.00292,17,9154017,Vernon Station,https://www.metro.net/riding/paid_parking/blue-line/,80117,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0029200000001,-118.2433,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90058,Vernon Station - LACMTA
-118.243081,34.019956,18,9154018,Washington Station,https://www.metro.net/riding/paid_parking/blue-line/,80118,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.019956,-118.243081,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90058,Washington Station - LACMTA
-118.25551,34.02681,19,9154019,San Pedro Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80119,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0268100000001,-118.25551,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90011,San Pedro Street Station - LACMTA
-118.269379,34.033176,20,9154020,Grand / LATTC Station,https://www.metro.net/riding/paid_parking/blue-line/,80120,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.033176,-118.269379,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90015,Grand / LATTC Station - LACMTA
-118.246174018,34.0547807140001,21,9154021,Civic Center / Grand Park Station,https://www.metro.net/riding/paid_parking/red-line/,80213,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0547807140001,-118.246174018,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90012,Civic Center / Grand Park Station - LACMTA
-118.250972622,34.0496261,22,9154022,Pershing Square Station,https://www.metro.net/riding/paid_parking/red-line/,80212,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0496261000001,-118.250972622,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90013,Pershing Square Station - LACMTA
-118.258745425,34.048695416,23,9154023,7th Street / Metro Center Station - Metro Red & Purple,https://www.metro.net/riding/paid_parking/expo-line/,80211,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.048695416,-118.258745425,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90017,7th Street / Metro Center Station - LACMTA
-118.275939165,34.0568702150001,24,9154024,Westlake / MacArthur Park Station,https://www.metro.net/riding/paid_parking/red-line/,80210,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0568702150001,-118.275939165,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90057,Westlake / MacArthur Park Station - LACMTA
-118.290386,34.062857,25,9154025,Wilshire / Vermont Station,https://www.metro.net/riding/paid_parking/red-line/,80209,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0628570000001,-118.290386,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90005,Wilshire / Vermont Station - LACMTA
-118.300979238,34.0617543160001,26,9154026,Wilshire / Normandie Station,https://www.metro.net/riding/paid_parking/purple-line/,80215,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0617543160001,-118.300979238,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90010,Wilshire / Normandie Station - LACMTA
-118.308890817,34.0616875210001,27,9154027,Wilshire / Western Station,https://www.metro.net/riding/paid_parking/purple-line/,80216,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0616875210001,-118.308890817,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90010,Wilshire / Western Station - LACMTA
-118.29169,34.07653,28,9154028,Vermont / Beverly Station,https://www.metro.net/riding/paid_parking/red-line/,80208,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.07653,-118.29169,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90004,Vermont / Beverly Station - LACMTA
-118.291732166,34.090451892,29,9154029,Vermont / Santa Monica Station,https://www.metro.net/riding/paid_parking/red-line/,80207,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.090451892,-118.291732166,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90029,Vermont / Santa Monica Station - LACMTA
-118.291757,34.0981795,30,9154030,Vermont / Sunset Station,https://www.metro.net/riding/paid_parking/red-line/,80206,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0981795000001,-118.291757,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90027,Vermont / Sunset Station - LACMTA
-118.308870082,34.1017341530001,31,9154031,Hollywood / Western Station,https://www.metro.net/riding/paid_parking/red-line/,80205,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1017341530001,-118.308870082,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90027,Hollywood / Western Station - LACMTA
-118.325694615,34.1016264730001,32,9154032,Hollywood / Vine Station,https://www.metro.net/riding/paid_parking/red-line/,80204,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1016264730001,-118.325694615,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90028,Hollywood / Vine Station - LACMTA
-118.339333085,34.1015436530001,33,9154033,Hollywood / Highland Station,https://www.metro.net/riding/paid_parking/red-line/,80203,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1015436530001,-118.339333085,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90028,Hollywood / Highland Station - LACMTA
-118.362392398,34.1391459650001,34,9154034,Universal / Studio City Station,https://www.metro.net/riding/paid_parking/red-line/,80202,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1391459650001,-118.362392398,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,91604,Universal / Studio City Station - LACMTA
-118.37704183,34.1688918790001,35,9154035,North Hollywood Station,https://www.metro.net/riding/paid_parking/red-line/,80201,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1688918790001,-118.37704183,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,91601,North Hollywood Station - LACMTA
-118.10472,33.91403,36,9154036,Norwalk Station,https://www.metro.net/riding/paid_parking/green-line/,80314,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.91403,-118.10472,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,NORWALK,CA,90650,Norwalk Station - LACMTA
-118.1406,33.91307,37,9154037,Lakewood Blvd Station,https://www.metro.net/riding/paid_parking/green-line/,80313,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9130700000001,-118.1406,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,DOWNEY,CA,90242,Lakewood Blvd Station - LACMTA
-118.20995,33.92488,38,9154038,Long Beach Blvd Station,https://www.metro.net/riding/paid_parking/green-line/,80312,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.92488,-118.20995,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LYNWOOD,CA,90262,Long Beach Blvd Station - LACMTA
-118.238229779,33.9282686780001,39,9154039,Willowbrook - Rosa Parks Station - Metro Green Line,https://www.metro.net/riding/paid_parking/green-line/,80311,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9282686780001,-118.238229779,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,WILLOWBROOK,CA,90059,Willowbrook - Rosa Parks Station - Metro Green Line - LACMTA
-118.265175,33.927464,40,9154040,Avalon Station,https://www.metro.net/riding/paid_parking/green-line/,80310,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.927464,-118.265175,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90061,Avalon Station - LACMTA
-118.281321862,33.928712712,41,9154041,Harbor Freeway Station,https://www.metro.net/riding/paid_parking/green-line/,80309,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.928712712,-118.281321862,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90061,Harbor Freeway Station - LACMTA
-118.291773459,33.9286835190001,42,9154042,Vermont / Athens Station,https://www.metro.net/riding/paid_parking/green-line/,80308,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9286835190001,-118.291773459,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,WEST ATHENS,CA,90044,Vermont / Athens Station - LACMTA
-118.32650191,33.9251994580001,43,9154043,Crenshaw Station,https://www.metro.net/riding/paid_parking/green-line/,80307,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9251994580001,-118.32650191,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,HAWTHORNE,CA,90250,Crenshaw Station - LACMTA
-118.351707174,33.9334264440001,44,9154044,Hawthorne / Lennox Station,https://www.metro.net/riding/paid_parking/green-line/,80306,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9334264440001,-118.351707174,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,HAWTHORNE,CA,90304,Hawthorne / Lennox Station - LACMTA
-118.377231991,33.929620963,45,9154045,Aviation / LAX Station,https://www.metro.net/riding/paid_parking/green-line/,80305,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.929620963,-118.377231991,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90045,Aviation / LAX Station - LACMTA
-118.38757,33.9232,46,9154046,Mariposa Station,https://www.metro.net/riding/paid_parking/green-line/,80304,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9232000000001,-118.38757,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,Mariposa Station - LACMTA
-118.386693735,33.9161878630001,47,9154047,El Segundo Station,https://www.metro.net/riding/paid_parking/green-line/,80303,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9161878630001,-118.386693735,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,El Segundo Station - LACMTA
-118.383063414,33.9052600260001,48,9154048,Douglas Station,https://www.metro.net/riding/paid_parking/green-line/,80302,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9052600260001,-118.383063414,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,Douglas Station - LACMTA
-118.3692,33.89464,49,9154049,Redondo Beach Station,https://www.metro.net/riding/paid_parking/green-line/,80301,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.89464,-118.3692,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,HAWTHORNE,CA,90278,Redondo Beach Station - LACMTA
-118.23366424,34.05562847,50,9154050,Union Station - Metro Red & Purple Lines,https://www.metro.net/riding/paid_parking/red-line/,80214,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.05562847,-118.23366424,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90012,Union Station - Metro Red & Purple Lines - LACMTA
-118.23584,34.06386,51,9154051,Chinatown Station,https://www.metro.net/riding/paid_parking/gold-line/,80410,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.06386,-118.23584,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90012,Chinatown Station - LACMTA
-118.220279566,34.0810538540001,52,9154052,Lincoln Heights / Cypress Park Station,https://www.metro.net/riding/paid_parking/gold-line/,80411,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0810538540001,-118.220279566,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90031,Lincoln Heights / Cypress Park Station - LACMTA
-118.21321,34.08723,53,9154053,Heritage Square / Arroyo Station,https://www.metro.net/riding/paid_parking/gold-line/,80412,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.08723,-118.21321,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90065,Heritage Square / Arroyo Station - LACMTA
-118.20646393,34.098404658,54,9154054,Southwest Museum Station,https://www.metro.net/riding/paid_parking/gold-line/,80413,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.098404658,-118.20646393,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90065,Southwest Museum Station - LACMTA
-118.19261,34.11118,55,9154055,Highland Park Station,https://www.metro.net/riding/paid_parking/gold-line/,80414,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.11118,-118.19261,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,203 N AVE 58,LOS ANGELES,CA,90042,Highland Park Station - LACMTA
-118.157809359,34.1152499820001,56,9154056,South Pasadena Station,https://www.metro.net/riding/paid_parking/gold-line/,80415,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1152499820001,-118.157809359,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,SOUTH PASADENA,CA,91030,South Pasadena Station - LACMTA
